Name,Location,Founded,Employee,About,Skills,Link
slice - Backend - SDE 3,Job available in Bangalore,Founded in 2016,More than 1000 employees,"-slicepay is a fin-tech startup that offers payment card designed for customers in the age group of 18-29 that comes with a pre-approved Rupay credit line backed by investors like Finup, Blume ventures, etc.","Python
C
C++
Golang
Java
Node.js
Ruby
Django
+7",https://www.instahyre.com/job-295138-backend-sde-3-at-slice-bangalore/
Tao - Data Engineer,Job available in Bangalore,Founded in 2021,10 - 50 employees,"Tao is a national competition-organizing company that enables students to learn, grow and become financially independent by organizing competitions for them across academic, co-curricular, and sports categories.","Python
Machine Learning
DevOps
AWS
pandas",https://www.instahyre.com/job-295087-data-engineer-at-tao-bangalore/
Tao - Python / Machine Learning Engineer,Job available in Bangalore,Founded in 2021,10 - 50 employees,"Tao is a national competition-organizing company that enables students to learn, grow and become financially independent by organizing competitions for them across academic, co-curricular, and sports categories.","Python
Machine Learning
AWS
DevOps
pandas",https://www.instahyre.com/job-295052-python-machine-learning-engineer-at-tao-bangalore/
TIFIN - VP of Technology,Job available in Mumbai,Founded in 2018,50 - 200 employees,"TIFIN is a venture capital firm that conceives, creates, and operates fintech companies in the areas of wealth management, investments, personal finance, and asset management.","Python
Django
Node.js
React.js",https://www.instahyre.com/job-295112-vp-of-technology-at-tifin-mumbai/
UrbanPiper - Engineering Manager,Job available in Bangalore,Founded in 2016,10 - 50 employees,"UrbanPiper is an IT & Services company that offers products, which include customizable websites & apps, a feature-rich CMS + CRM dashboard to manage and analyze online presence.","Python
Django
Flask
JavaScript",https://www.instahyre.com/job-295070-engineering-manager-at-urbanpiper-bangalore/
Delhivery - QA Engineer,Job available in Gurgaon,Founded in 2011,More than 1000 employees,"Delhivery is a fulfilment platform for digital commerce specializing in Omni-channel solutions, Order fulfilment solutions, Reverse Logistics, Payment collection, Express shipping, Logistics Technology, etc.","Python
Automation Testing
Manual Testing
+8",https://www.instahyre.com/job-295040-qa-engineer-at-delhivery-gurgaon/
Desynova - Backend Developer,Job available in Work From Home,Founded in 2016,50 - 200 employees,"Desynova is an Internet-based, Broadcasting & Media Production company that acquires content from production centres & deliver it to national playout centres; offers native cloud, metadata harvesting, etc.","Python
Django
MongoDB",https://www.instahyre.com/job-295001-backend-developer-at-desynova-work-from-home/
Desynova - Data Scientist,Job available in Work From Home,Founded in 2016,50 - 200 employees,"Desynova is an Internet-based, Broadcasting & Media Production company that acquires content from production centres & deliver it to national playout centres; offers native cloud, metadata harvesting, etc.","Python
NLP
Computer Vision
PyTorch
NumPy",https://www.instahyre.com/job-295004-data-scientist-at-desynova-work-from-home/
GeoIQ - Data Scientist,Job available in Bangalore,Founded in 2018,10 - 50 employees,"GeoIQ empowers business analysts to data scientists, to turn location data into business outcomes. Its platform and APIs offer insights on where things happen, why they happen and helps predict what will happen.","Python
SQL
Machine Learning
Predictive Modelling
+1",https://www.instahyre.com/job-294962-data-scientist-at-geoiq-bangalore/
ITech Software Solution - Python Lead,Job available in Bhopal,Founded in 2007,50 - 200 employees,"ITech Software Solution is a global IT and consulting firm that helps multiple enterprises by offering end-to-end, cutting-edge software solutions including mobile app development and data warehouse services.","Python
Django",https://www.instahyre.com/job-294970-python-lead-at-itech-software-solution-bhopal/
Kadel Labs - Senior Software Engineer - QA,Job available in Bangalore,Founded in 2017,50 - 200 employees,Kadel Labs is a global software technology systems incubator that nurtures startups from inception till they become self-sustainable corporate firms by offering SaaS products and driving digital transformation.,"Python
Automation Testing
Manual Testing
+9",https://www.instahyre.com/job-294925-senior-software-engineer-qa-at-kadel-labs-bangalore/
Klimb.io - Principal Engineer,Job available in Bangalore,Founded in 2015,10 - 50 employees,"Klimb provides a cloud-based recruitment process management suite. Offers a product that aims to bring speed and intelligence to recruitment, and a learning platform which helps recruiters with tech hiring.","Python
Golang
Java
Spring Boot
Microservices",https://www.instahyre.com/job-294938-principal-engineer-at-klimb-bangalore/
Kotak Mahindra Bank - VP Analytics,Job available in Mumbai,Founded in 1985,More than 1000 employees,"Kotak Mahindra is a financial services conglomerate that offers banking products and solutions for commercial banking, stock broking, mutual funds, life insurance, and investment banking.","Python
Machine Learning
MLOps
Neural Networks
NLP",https://www.instahyre.com/job-295008-vp-analytics-at-kotak-mahindra-bank-mumbai/
nference - Senior SDET,Job available in Coimbatore,Founded in 2013,200 - 500 employees,nference is an AI-powered firm that partners with medical centers to turn electronic medical records into software solutions while making biomedical knowledge computable for solving healthcare problems.,"Python
UI Testing
pytest
Docker
Shell Scripting",https://www.instahyre.com/job-295038-senior-sdet-at-nference-2-coimbatore/
Nykaa - Engineering Manager,Job available in Bangalore,Founded in 2012,200 - 500 employees,"Nykaa is an eCommerce store focused on beauty and wellness products for both men and women, along with product reviews, tips and tricks regarding beauty products. Also operates offline stores. Has raised over $25 million in funding till date.","Python
Java
Spring
Engineering Management
Node.js",https://www.instahyre.com/job-294934-engineering-manager-at-nykaa-bangalore/
Petasense - Hardware Design Engineer,Job available in Bangalore,Founded in 2014,10 - 50 employees,"Petasense is a wireless organization that provides services related to machine health using Industrial IoT and machine learning analytics, specializing in Wireless Monitoring, Predictive Maintenance, etc.","Python
Embedded Systems
C++
UART
Firmware Development",https://www.instahyre.com/job-295036-hardware-design-engineer-at-petasense-bangalore/
R Systems International - Azure Migration Specialist,Job available in Noida,Founded in 1993,More than 1000 employees,"R Systems is an specialized IT Services & Solutions provider of Deep Analytics, Robotic Process Automation, QA & Testing, App Development, KPO/BPO, Supply Chain Solutions & Mobile Broadband Management.","Python
Data Migration
Azure
Terraform
Azure DevOps Server",https://www.instahyre.com/job-294927-azure-migration-specialist-at-r-systems-international-noida/
R Systems International - Senior Software Engineer - Azure Migration,Job available in Noida,Founded in 1993,More than 1000 employees,"R Systems is an specialized IT Services & Solutions provider of Deep Analytics, Robotic Process Automation, QA & Testing, App Development, KPO/BPO, Supply Chain Solutions & Mobile Broadband Management.","Python
Azure
Terraform
Data Migration
DevOps",https://www.instahyre.com/job-295000-senior-software-engineer-azure-migration-at-r-systems-international-noida/
Squareshift - Lead QA,Job available in Hyderabad,Founded in 2019,50 - 200 employees,"SquareShift caters to a cloud-based platform for enterprises, specializing in a DevOps Enablement package helps the enterprises to build a fully automated DevOps infrastructure and deployment pipelines.","Python
Automation Testing
Manual Testing
SDET
Cucumber",https://www.instahyre.com/job-294932-lead-qa-at-squareshift-hyderabad/
sybill.ai - Technical Support Engineer,Job available in Work From Home,Founded in 2020,0 - 10 employees,Sybill offers a conversational intelligence platform. It uses computer vision and AI to give actionable insights to the speaker enabling them to understand and connect better to online video meeting participants.,"Python
Technical Support
Customer Service
AWS
JavaScript",https://www.instahyre.com/job-294963-technical-support-engineer-at-sybill-work-from-home/
Tao - Python Developer,Job available in Bangalore,Founded in 2021,10 - 50 employees,"Tao is a national competition-organizing company that enables students to learn, grow and become financially independent by organizing competitions for them across academic, co-curricular, and sports categories.","Python
Machine Learning
pandas
AWS
DevOps",https://www.instahyre.com/job-294935-python-developer-at-tao-bangalore/
Tredence Inc - Associate Manager - L3 / Data Architect - L4,Job available in Work From Home,Founded in 2013,500 - 1000 employees,"Tredence Inc is a Management Consulting company that specializes in solutions related to Data Visualization, BI Solutions, Advanced Analytics, Tableau Services, Analytics Consulting, etc.","Python
Databricks
Azure
SQL
PySpark",https://www.instahyre.com/job-295014-associate-manager-l3-data-architect-l4-at-tredence-inc-work-from-home/
TVS Credit Services - Data Analyst,Job available in Chennai,Founded in 2009,More than 1000 employees,"TVS Credit Services is a Financial Services company that offers Commercial Vehicles Loans, Business Loans, etc. It has been listed among the Top 40 in India's leading BFSI companies 2019 by Dun&Bradstreet.","Python
SQL",https://www.instahyre.com/job-295020-data-analyst-at-tvs-credit-services-chennai/
WorkSpan - SDET,Job available in Bangalore,Founded in 2014,50 - 200 employees,"WorkSpan has created a software of Alliance Relationship Management Network where partners automate & report on joint sales, marketing, solutions, etc. Their clients include Infosys, Funworks, Lenovo and others.","Python
SDET
Automation Testing
Java
API Testing",https://www.instahyre.com/job-294969-sdet-at-workspan-bangalore/
Zipy - Backend Developer,Job available in Bangalore,Founded in 2020,10 - 50 employees,"Zipy is a software development and observability platform that aims to help engineers, developers, and QA teams from various enterprises with debugging, advanced Dev tools, and various such tech products.","Python
Java
Kafka
Hadoop
Spark",https://www.instahyre.com/job-294944-backend-developer-at-zipy-bangalore/
Acceldata - Senior SDET,Job available in Bangalore,Founded in 2018,50 - 200 employees,"Acceldata is building products for more effective Data Operations by providing optimisation along BI, Data Science, Analytics and Streaming Systems, ultimately improving performance.","Python
Java
Performance Testing
SDET",https://www.instahyre.com/job-294726-senior-sdet-at-acceldata-bangalore/
Amazon - Technical Support,Job available in Work From Home,Founded in 1994,More than 1000 employees,"Amazon is the world's largest online retailer. The company has been referred to as ""one of the most influential economic and cultural forces in the world"", as well as the world's most valuable brand.","Python
Customer Service
Technical Support
IT Support
+1",https://www.instahyre.com/job-294811-technical-support-at-amazon-work-from-home/
